timestamp_ms,monotonic_ts,pressure
1779243760046,597774.308115,65
1779243760066,597774.328469,66
1779243760087,597774.348858,64
1779243760102,597774.364503,64
1779243760123,597774.384875,63
1779243760144,597774.406243,62
1779243760164,597774.426560,62
1779243760185,597774.446878,61
1779243760205,597774.467163,60
1779243760225,597774.487453,62
1779243760246,597774.507710,60
1779243760267,597774.528918,61
1779243760282,597774.544119,58
1779243760303,597774.565527,56
1779243760324,597774.585814,56
1779243760344,597774.606099,54
1779243760364,597774.626362,54
1779243760384,597774.646603,56
1779243760405,597774.666854,57
1779243760425,597774.687111,56
1779243760445,597774.707374,55
1779243760466,597774.727641,55
1779243760482,597774.743637,54
1779243760502,597774.764392,54
1779243760523,597774.785470,55
1779243760544,597774.806462,54
1779243760565,597774.826725,54
1779243760585,597774.846967,54
1779243760605,597774.867317,55
1779243760626,597774.887707,56
1779243760641,597774.902939,52
1779243760661,597774.923600,51
1779243760682,597774.943932,49
1779243760702,597774.964285,50
1779243760723,597774.984625,49
1779243760743,597775.004873,49
1779243760763,597775.025085,50
1779243760785,597775.046883,51
1779243760805,597775.067156,50
1779243760820,597775.082607,49
1779243760841,597775.102905,48
1779243760862,597775.124585,48
1779243760883,597775.144938,48
1779243760903,597775.165266,48
1779243760923,597775.185550,48
1779243760944,597775.205952,48
1779243760964,597775.226449,48
1779243760980,597775.242394,48
1779243761002,597775.263626,48
1779243761022,597775.284019,47
1779243761043,597775.304763,48
1779243761063,597775.325057,47
1779243761083,597775.345350,47
1779243761104,597775.365645,47
1779243761124,597775.385927,49
1779243761144,597775.406198,44
1779243761159,597775.421437,44
1779243761180,597775.441722,47
1779243761200,597775.461997,42
1779243761221,597775.483264,39
1779243761241,597775.503551,42
1779243761262,597775.523826,42
1779243761282,597775.544128,37
1779243761304,597775.566149,36
1779243761319,597775.581373,36
1779243761340,597775.602409,35
1779243761361,597775.622716,36
1779243761381,597775.643047,36
1779243761401,597775.663335,36
1779243761421,597775.683614,35
1779243761442,597775.703842,35
1779243761462,597775.724099,34
1779243761482,597775.744375,34
1779243761503,597775.764669,35
1779243761523,597775.785029,35
1779243761538,597775.800315,29
1779243761559,597775.820637,27
1779243761579,597775.840962,28
1779243761599,597775.861266,30
1779243761619,597775.881529,30
1779243761640,597775.901805,31
1779243761660,597775.922097,26
1779243761680,597775.942395,25
1779243761701,597775.962658,24
1779243761721,597775.982893,27
1779243761741,597776.003148,28
1779243761761,597776.023393,22
1779243761781,597776.043614,21
1779243761802,597776.063882,22
1779243761818,597776.080209,21
1779243761839,597776.100684,20
1779243761859,597776.120968,26
1779243761880,597776.141833,24
1779243761900,597776.162103,23
1779243761921,597776.182859,23
1779243761941,597776.203128,24
1779243761957,597776.219049,25
1779243761977,597776.239387,25
1779243761998,597776.259695,26
1779243762018,597776.279953,25
1779243762038,597776.300217,25
1779243762059,597776.321402,25
1779243762080,597776.341702,25
1779243762100,597776.361954,25
1779243762120,597776.382231,25
1779243762140,597776.402573,25
1779243762161,597776.422843,25
1779243762181,597776.443221,25
1779243762196,597776.458436,29
1779243762217,597776.478679,24
1779243762237,597776.498985,25
1779243762258,597776.519655,27
1779243762278,597776.540489,24
1779243762300,597776.562152,25
1779243762321,597776.582694,30
1779243762336,597776.597961,27
1779243762356,597776.618324,30
1779243762377,597776.638638,30
1779243762397,597776.658901,32
1779243762417,597776.679208,34
1779243762437,597776.699520,37
1779243762458,597776.719773,36
1779243762478,597776.740562,39
1779243762499,597776.760907,39
1779243762520,597776.781864,39
1779243762536,597776.798044,40
1779243762557,597776.819400,41
1779243762578,597776.840111,44
1779243762599,597776.861551,43
1779243762620,597776.881781,43
1779243762640,597776.902019,48
1779243762656,597776.917959,45
1779243762676,597776.938203,44
1779243762696,597776.958550,45
1779243762717,597776.978865,46
1779243762737,597776.999167,49
1779243762757,597777.019427,49
1779243762778,597777.039698,49
1779243762798,597777.060470,50
1779243762819,597777.080700,50
1779243762834,597777.096421,51
1779243762855,597777.116922,50
1779243762875,597777.137289,50
1779243762895,597777.157567,52
1779243762916,597777.177805,49
1779243762936,597777.198037,49
1779243762956,597777.218280,48
1779243762977,597777.239592,45
1779243762998,597777.259941,46
1779243763018,597777.280183,47
1779243763038,597777.300414,46
1779243763054,597777.316184,47
1779243763074,597777.336494,48
1779243763096,597777.357731,50
1779243763117,597777.378981,49
1779243763137,597777.399250,51
1779243763154,597777.415869,51
1779243763174,597777.436190,51
1779243763194,597777.456544,50
1779243763215,597777.477563,50
1779243763236,597777.497863,51
1779243763256,597777.518200,50
1779243763276,597777.538556,51
1779243763297,597777.558864,50
1779243763317,597777.579178,49
1779243763337,597777.599461,51
1779243763353,597777.614703,53
1779243763374,597777.635937,52
1779243763395,597777.656865,52
1779243763416,597777.678407,57
1779243763437,597777.699082,61
1779243763453,597777.715534,63
1779243763475,597777.737159,63
1779243763495,597777.757545,65
1779243763516,597777.777849,64
1779243763536,597777.798250,63
1779243763557,597777.818728,65
1779243763577,597777.839093,66
1779243763592,597777.854343,67
1779243763613,597777.874681,66
1779243763633,597777.895025,67
1779243763653,597777.915397,67
1779243763675,597777.936928,67
1779243763696,597777.958402,68
1779243763712,597777.973623,68
1779243763733,597777.994788,67
1779243763753,597778.015049,67
1779243763773,597778.035319,68
1779243763793,597778.055602,68
1779243763814,597778.075911,68
1779243763834,597778.096259,65
1779243763854,597778.116606,69
1779243763875,597778.136903,67
1779243763895,597778.157295,69
1779243763915,597778.177592,67
1779243763931,597778.193440,66
1779243763952,597778.213712,65
1779243763973,597778.235286,71
1779243763993,597778.255589,67
1779243764014,597778.275869,66
1779243764035,597778.297304,67
1779243764051,597778.312632,67
1779243764071,597778.332897,66
1779243764091,597778.353196,69
1779243764111,597778.373482,67
1779243764132,597778.393868,65
1779243764153,597778.414642,64
1779243764173,597778.434932,66
1779243764193,597778.455152,67
1779243764214,597778.476411,67
1779243764235,597778.496788,67
1779243764255,597778.517127,67
1779243764270,597778.532333,66
1779243764290,597778.552608,66
1779243764311,597778.573491,66
1779243764332,597778.593780,66
1779243764353,597778.615231,66
1779243764373,597778.635498,66
1779243764394,597778.655762,67
1779243764414,597778.676042,67
1779243764434,597778.696325,66
1779243764450,597778.712114,66
1779243764470,597778.732365,65
1779243764492,597778.753675,65
